,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
2017-01-03,4.8,5,4.8,5,KNDI,213186,HISTORICAL_PRICES,KNDI,,1606830572000,-0.3191489361702128,-0.3191489361702128,5,4.8,5,4.8,213186,5,4.8,5,4.8,213186,"Jan 3, 17",-0.10000000000000053,-0.0204
2017-01-04,4.9,4.9,4.85,4.9,KNDI,109715,HISTORICAL_PRICES,KNDI,,1606830572000,-0.30496453900709214,-0.30496453900709214,4.9,4.9,4.9,4.85,109715,4.9,4.9,4.9,4.85,109715,"Jan 4, 17",0.10000000000000053,0.0208
2017-01-05,5.2,5.2,4.8,4.9,KNDI,229976,HISTORICAL_PRICES,KNDI,,1606830572000,-0.26241134751773043,-0.26241134751773043,4.9,5.2,5.2,4.8,229976,4.9,5.2,5.2,4.8,229976,"Jan 5, 17",0.2999999999999998,0.0612
2017-01-06,5,5.25,4.95,5.25,KNDI,144433,HISTORICAL_PRICES,KNDI,,1606830572000,-0.2907801418439716,-0.2907801418439716,5.25,5,5.25,4.95,144433,5.25,5,5.25,4.95,144433,"Jan 6, 17",-0.20000000000000018,-0.0385
2017-01-09,4.95,5.05,4.85,5.05,KNDI,142362,HISTORICAL_PRICES,KNDI,,1606830572000,-0.29787234042553185,-0.29787234042553185,5.05,4.95,5.05,4.85,142362,5.05,4.95,5.05,4.85,142362,"Jan 9, 17",-0.04999999999999982,-0.01
2017-01-10,5.15,5.2,4.85,4.95,KNDI,202049,HISTORICAL_PRICES,KNDI,,1606830572000,-0.2695035460992907,-0.2695035460992907,4.95,5.15,5.2,4.85,202049,4.95,5.15,5.2,4.85,202049,"Jan 10, 17",0.20000000000000018,0.0404
2017-01-11,5.25,5.35,5.05,5.1,KNDI,482432,HISTORICAL_PRICES,KNDI,,1606830572000,-0.2553191489361702,-0.2553191489361702,5.1,5.25,5.35,5.05,482432,5.1,5.25,5.35,5.05,482432,"Jan 11, 17",0.09999999999999964,0.0194
2017-01-12,5,5.302,5,5.2,KNDI,230483,HISTORICAL_PRICES,KNDI,,1606830572000,-0.2907801418439716,-0.2907801418439716,5.2,5,5.302,5,230483,5.2,5,5.302,5,230483,"Jan 12, 17",-0.25,-0.0476
2017-01-13,5.05,5.15,5,5,KNDI,95824,HISTORICAL_PRICES,KNDI,,1606830572000,-0.28368794326241137,-0.28368794326241137,5,5.05,5.15,5,95824,5,5.05,5.15,5,95824,"Jan 13, 17",0.04999999999999982,0.01
2017-01-17,4.85,5.05,4.8,5,KNDI,280372,HISTORICAL_PRICES,KNDI,,1606830572000,-0.3120567375886525,-0.3120567375886525,5,4.85,5.05,4.8,280372,5,4.85,5.05,4.8,280372,"Jan 17, 17",-0.20000000000000018,-0.0396
2017-01-18,4.85,4.9,4.8,4.85,KNDI,154160,HISTORICAL_PRICES,KNDI,,1606830572000,-0.3120567375886525,-0.3120567375886525,4.85,4.85,4.9,4.8,154160,4.85,4.85,4.9,4.8,154160,"Jan 18, 17",0,0
2017-01-19,4.8,4.95,4.775,4.85,KNDI,145081,HISTORICAL_PRICES,KNDI,,1606830572000,-0.3191489361702128,-0.3191489361702128,4.85,4.8,4.95,4.775,145081,4.85,4.8,4.95,4.775,145081,"Jan 19, 17",-0.04999999999999982,-0.0103
2017-01-20,4.85,4.9,4.75,4.85,KNDI,144410,HISTORICAL_PRICES,KNDI,,1606830572000,-0.3120567375886525,-0.3120567375886525,4.85,4.85,4.9,4.75,144410,4.85,4.85,4.9,4.75,144410,"Jan 20, 17",0.04999999999999982,0.0104
2017-01-23,4.8,4.85,4.65,4.85,KNDI,243720,HISTORICAL_PRICES,KNDI,,1606830572000,-0.3191489361702128,-0.3191489361702128,4.85,4.8,4.85,4.65,243720,4.85,4.8,4.85,4.65,243720,"Jan 23, 17",-0.04999999999999982,-0.0103
2017-01-24,4.5,4.8,4.3,4.75,KNDI,490053,HISTORICAL_PRICES,KNDI,,1606830572000,-0.36170212765957444,-0.36170212765957444,4.75,4.5,4.8,4.3,490053,4.75,4.5,4.8,4.3,490053,"Jan 24, 17",-0.2999999999999998,-0.0625
2017-01-25,4.35,4.65,4.2,4.45,KNDI,804521,HISTORICAL_PRICES,KNDI,,1606830572000,-0.3829787234042554,-0.3829787234042554,4.45,4.35,4.65,4.2,804521,4.45,4.35,4.65,4.2,804521,"Jan 25, 17",-0.15000000000000036,-0.0333
2017-01-26,4.55,4.725,4.45,4.5,KNDI,358988,HISTORICAL_PRICES,KNDI,,1606830572000,-0.3546099290780142,-0.3546099290780142,4.5,4.55,4.725,4.45,358988,4.5,4.55,4.725,4.45,358988,"Jan 26, 17",0.20000000000000018,0.046
2017-01-27,4.5,4.575,4.5,4.5,KNDI,79583,HISTORICAL_PRICES,KNDI,,1606830572000,-0.36170212765957444,-0.36170212765957444,4.5,4.5,4.575,4.5,79583,4.5,4.5,4.575,4.5,79583,"Jan 27, 17",-0.04999999999999982,-0.011
2017-01-30,4.45,4.511,4.3,4.5,KNDI,171010,HISTORICAL_PRICES,KNDI,,1606830572000,-0.36879432624113473,-0.36879432624113473,4.5,4.45,4.511,4.3,171010,4.5,4.45,4.511,4.3,171010,"Jan 30, 17",-0.04999999999999982,-0.0111
2017-01-31,4.25,4.45,4.2,4.45,KNDI,389785,HISTORICAL_PRICES,KNDI,,1606830572000,-0.39716312056737585,-0.39716312056737585,4.45,4.25,4.45,4.2,389785,4.45,4.25,4.45,4.2,389785,"Jan 31, 17",-0.20000000000000018,-0.0449
2017-02-01,4.2,4.45,4.2,4.25,KNDI,192947,HISTORICAL_PRICES,KNDI,,1606830572000,-0.40425531914893614,-0.40425531914893614,4.25,4.2,4.45,4.2,192947,4.25,4.2,4.45,4.2,192947,"Feb 1, 17",-0.04999999999999982,-0.0118
2017-02-02,4.2,4.5,4.1,4.2,KNDI,382190,HISTORICAL_PRICES,KNDI,,1606830572000,-0.40425531914893614,-0.40425531914893614,4.2,4.2,4.5,4.1,382190,4.2,4.2,4.5,4.1,382190,"Feb 2, 17",0,0
2017-02-03,4.25,4.4,4.15,4.15,KNDI,230331,HISTORICAL_PRICES,KNDI,,1606830572000,-0.39716312056737585,-0.39716312056737585,4.15,4.25,4.4,4.15,230331,4.15,4.25,4.4,4.15,230331,"Feb 3, 17",0.04999999999999982,0.0119
2017-02-06,4.3,4.3,4.25,4.25,KNDI,79350,HISTORICAL_PRICES,KNDI,,1606830572000,-0.3900709219858156,-0.3900709219858156,4.25,4.3,4.3,4.25,79350,4.25,4.3,4.3,4.25,79350,"Feb 6, 17",0.04999999999999982,0.0118
2017-02-07,4.15,4.3139,4.15,4.25,KNDI,151574,HISTORICAL_PRICES,KNDI,,1606830572000,-0.4113475177304964,-0.4113475177304964,4.25,4.15,4.3139,4.15,151574,4.25,4.15,4.3139,4.15,151574,"Feb 7, 17",-0.14999999999999947,-0.0349
2017-02-08,4.1,4.15,4.05,4.15,KNDI,241212,HISTORICAL_PRICES,KNDI,,1606830572000,-0.4184397163120568,-0.4184397163120568,4.15,4.1,4.15,4.05,241212,4.15,4.1,4.15,4.05,241212,"Feb 8, 17",-0.05000000000000071,-0.012
2017-02-09,4,4.0999,4,4.05,KNDI,215564,HISTORICAL_PRICES,KNDI,,1606830572000,-0.43262411347517726,-0.43262411347517726,4.05,4,4.0999,4,215564,4.05,4,4.0999,4,215564,"Feb 9, 17",-0.09999999999999964,-0.0244
2017-02-10,4.075,4.1,3.95,3.95,KNDI,203790,HISTORICAL_PRICES,KNDI,,1606830572000,-0.4219858156028368,-0.4219858156028368,3.95,4.075,4.1,3.95,203790,3.95,4.075,4.1,3.95,203790,"Feb 10, 17",0.07500000000000018,0.0188
2017-02-13,4.25,4.35,4.05,4.1,KNDI,344566,HISTORICAL_PRICES,KNDI,,1606830572000,-0.39716312056737585,-0.39716312056737585,4.1,4.25,4.35,4.05,344566,4.1,4.25,4.35,4.05,344566,"Feb 13, 17",0.17499999999999982,0.0429
2017-02-14,4.1,4.3,4.05,4.25,KNDI,198916,HISTORICAL_PRICES,KNDI,,1606830572000,-0.4184397163120568,-0.4184397163120568,4.25,4.1,4.3,4.05,198916,4.25,4.1,4.3,4.05,198916,"Feb 14, 17",-0.15000000000000036,-0.0353
2017-02-15,4.25,4.25,4.15,4.15,KNDI,157155,HISTORICAL_PRICES,KNDI,,1606830572000,-0.39716312056737585,-0.39716312056737585,4.15,4.25,4.25,4.15,157155,4.15,4.25,4.25,4.15,157155,"Feb 15, 17",0.15000000000000036,0.0366
2017-02-16,4.25,4.5,4.15,4.15,KNDI,240651,HISTORICAL_PRICES,KNDI,,1606830572000,-0.39716312056737585,-0.39716312056737585,4.15,4.25,4.5,4.15,240651,4.15,4.25,4.5,4.15,240651,"Feb 16, 17",0,0
