,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
2017-04-03,31,31.4999,30.03,30.03,BTU,15515,HISTORICAL_PRICES,BTU,,1606830572000,0,0,30.03,31,31.4999,30.03,15515,30.03,31,31.4999,30.03,15515,"Apr 3, 17",0,0
2017-04-04,27.25,32.5,26.51,32,BTU,3711465,HISTORICAL_PRICES,BTU,,1606830572000,-0.12096774193548387,-0.12096774193548387,32,27.25,32.5,26.51,3711465,28.9397,24.644,29.3919,23.9747,3711465,"Apr 4, 17",-3.75,-0.121
2017-04-05,28,28.5,26,27.99,BTU,3178535,HISTORICAL_PRICES,BTU,,1606830572000,-0.0967741935483871,-0.0967741935483871,27.99,28,28.5,26,3178535,25.3132,25.3222,25.7744,23.5135,3178535,"Apr 5, 17",0.75,0.0275
2017-04-06,27.55,28.62,27.01,28.15,BTU,1614392,HISTORICAL_PRICES,BTU,,1606830572000,-0.11129032258064514,-0.11129032258064514,28.15,27.55,28.62,27.01,1614392,25.4579,24.9153,25.8829,24.4269,1614392,"Apr 6, 17",-0.4499999999999993,-0.0161
2017-04-07,27.57,27.8817,27.12,27.45,BTU,418384,HISTORICAL_PRICES,BTU,,1606830572000,-0.11064516129032258,-0.11064516129032258,27.45,27.57,27.8817,27.12,418384,24.8248,24.9334,25.2152,24.5264,418384,"Apr 7, 17",0.019999999999999574,0.0007
2017-04-10,27.98,28.47,27.26,28,BTU,816334,HISTORICAL_PRICES,BTU,,1606830572000,-0.09741935483870966,-0.09741935483870966,28,27.98,28.47,27.26,816334,25.3222,25.3041,25.7473,24.653,816334,"Apr 10, 17",0.41000000000000014,0.0149
2017-04-11,27.49,27.9,27.02,27.65,BTU,593483,HISTORICAL_PRICES,BTU,,1606830572000,-0.11322580645161295,-0.11322580645161295,27.65,27.49,27.9,27.02,593483,25.0057,24.861,25.2318,24.436,593483,"Apr 11, 17",-0.490000000000002,-0.0175
2017-04-12,25.75,27.61,25.48,27.43,BTU,1003122,HISTORICAL_PRICES,BTU,,1606830572000,-0.1693548387096774,-0.1693548387096774,27.43,25.75,27.61,25.48,1003122,24.8067,23.2874,24.9695,23.0432,1003122,"Apr 12, 17",-1.7399999999999984,-0.0633
2017-04-13,23.82,25.89,23.28,25.78,BTU,3701438,HISTORICAL_PRICES,BTU,,1606830572000,-0.23161290322580644,-0.23161290322580644,25.78,23.82,25.89,23.28,3701438,23.3145,21.542,23.414,21.0536,3701438,"Apr 13, 17",-1.9299999999999997,-0.075
2017-04-17,23.42,23.99,22.61,23.95,BTU,1934769,HISTORICAL_PRICES,BTU,,1606830572000,-0.244516129032258,-0.244516129032258,23.95,23.42,23.99,22.61,1934769,21.6596,21.1802,21.6957,20.4477,1934769,"Apr 17, 17",-0.3999999999999986,-0.0168
2017-04-18,24,24.65,23.41,23.41,BTU,3042244,HISTORICAL_PRICES,BTU,,1606830572000,-0.22580645161290322,-0.22580645161290322,23.41,24,24.65,23.41,3042244,21.1712,21.7048,22.2926,21.1712,3042244,"Apr 18, 17",0.5799999999999983,0.0248
2017-04-19,24.94,25.15,24.43,24.5,BTU,1081120,HISTORICAL_PRICES,BTU,,1606830572000,-0.1954838709677419,-0.1954838709677419,24.5,24.94,25.15,24.43,1081120,22.157,22.5549,22.7448,22.0936,1081120,"Apr 19, 17",0.9400000000000013,0.0392
2017-04-20,25,25.29,24.72,25.06,BTU,491404,HISTORICAL_PRICES,BTU,,1606830572000,-0.1935483870967742,-0.1935483870967742,25.06,25,25.29,24.72,491404,22.6634,22.6091,22.8714,22.3559,491404,"Apr 20, 17",0.05999999999999872,0.0024
2017-04-21,25.69,25.95,25.12,25.12,BTU,524642,HISTORICAL_PRICES,BTU,,1606830572000,-0.1712903225806451,-0.1712903225806451,25.12,25.69,25.95,25.12,524642,22.7177,23.2331,23.4683,22.7177,524642,"Apr 21, 17",0.6900000000000013,0.0276
2017-04-24,26.39,26.95,26.0101,26.7,BTU,261384,HISTORICAL_PRICES,BTU,,1606830572000,-0.1487096774193548,-0.1487096774193548,26.7,26.39,26.95,26.0101,261384,24.1466,23.8662,24.3726,23.5226,261384,"Apr 24, 17",0.6999999999999993,0.0272
2017-04-25,26.1,27,25.46,26.99,BTU,544768,HISTORICAL_PRICES,BTU,,1606830572000,-0.15806451612903222,-0.15806451612903222,26.99,26.1,27,25.46,544768,24.4088,23.6039,24.4179,23.0251,544768,"Apr 25, 17",-0.28999999999999915,-0.011
2017-04-26,26.53,27,26,26.75,BTU,851865,HISTORICAL_PRICES,BTU,,1606830572000,-0.14419354838709675,-0.14419354838709675,26.75,26.53,27,26,851865,24.1918,23.9928,24.4179,23.5135,851865,"Apr 26, 17",0.4299999999999997,0.0165
2017-04-27,26.21,26.75,26.03,26.73,BTU,568140,HISTORICAL_PRICES,BTU,,1606830572000,-0.15451612903225803,-0.15451612903225803,26.73,26.21,26.75,26.03,568140,24.1737,23.7034,24.1918,23.5406,568140,"Apr 27, 17",-0.3200000000000003,-0.0121
2017-04-28,25.41,26.5,25.19,26.5,BTU,415130,HISTORICAL_PRICES,BTU,,1606830572000,-0.1803225806451613,-0.1803225806451613,26.5,25.41,26.5,25.19,415130,23.9657,22.9799,23.9657,22.781,415130,"Apr 28, 17",-0.8000000000000007,-0.0305
2017-05-01,25.75,26.01,25.31,25.74,BTU,461813,HISTORICAL_PRICES,BTU,,1606830572000,-0.1693548387096774,-0.1693548387096774,25.74,25.75,26.01,25.31,461813,23.2784,23.2874,23.5225,22.8895,461813,"May 1, 17",0.33999999999999986,0.0134
2017-05-02,26.03,26.5,25.75,25.9,BTU,915658,HISTORICAL_PRICES,BTU,,1606830572000,-0.16032258064516125,-0.16032258064516125,25.9,26.03,26.5,25.75,915658,23.4231,23.5406,23.9657,23.2874,915658,"May 2, 17",0.28000000000000114,0.0109
2017-05-03,25.07,26.83,24.801,26.05,BTU,2050932,HISTORICAL_PRICES,BTU,,1606830572000,-0.19129032258064516,-0.19129032258064516,26.05,25.07,26.83,24.801,2050932,23.5587,22.6724,24.2641,22.4292,2050932,"May 3, 17",-0.9600000000000009,-0.0369
2017-05-04,23.79,25.1,23.78,25.04,BTU,4993357,HISTORICAL_PRICES,BTU,,1606830572000,-0.23258064516129034,-0.23258064516129034,25.04,23.79,25.1,23.78,4993357,22.6453,21.5149,22.6996,21.5058,4993357,"May 4, 17",-1.2800000000000011,-0.0511
