,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
2017-01-03,3.87,3.99,3.65,3.9,GNW,10631374,HISTORICAL_PRICES,GNW,,1606830572000,0.3920863309352519,0.3920863309352519,3.9,3.87,3.99,3.65,10631374,3.9,3.87,3.99,3.65,10631374,"Jan 3, 17",0.06000000000000005,0.0157
2017-01-04,4.04,4.04,3.86,3.86,GNW,5824350,HISTORICAL_PRICES,GNW,,1606830572000,0.45323741007194257,0.45323741007194257,3.86,4.04,4.04,3.86,5824350,3.86,4.04,4.04,3.86,5824350,"Jan 4, 17",0.16999999999999993,0.0439
2017-01-05,3.95,4.02,3.9,4,GNW,3963982,HISTORICAL_PRICES,GNW,,1606830572000,0.42086330935251814,0.42086330935251814,4,3.95,4.02,3.9,3963982,4,3.95,4.02,3.9,3963982,"Jan 5, 17",-0.08999999999999986,-0.0223
2017-01-06,3.94,4,3.92,3.97,GNW,2879348,HISTORICAL_PRICES,GNW,,1606830572000,0.4172661870503598,0.4172661870503598,3.97,3.94,4,3.92,2879348,3.97,3.94,4,3.92,2879348,"Jan 6, 17",-0.010000000000000231,-0.0025
2017-01-09,3.84,3.94,3.83,3.91,GNW,3732063,HISTORICAL_PRICES,GNW,,1606830572000,0.38129496402877705,0.38129496402877705,3.91,3.84,3.94,3.83,3732063,3.91,3.84,3.94,3.83,3732063,"Jan 9, 17",-0.10000000000000009,-0.0254
2017-01-10,3.83,3.905,3.8,3.86,GNW,5745023,HISTORICAL_PRICES,GNW,,1606830572000,0.37769784172661885,0.37769784172661885,3.86,3.83,3.905,3.8,5745023,3.86,3.83,3.905,3.8,5745023,"Jan 10, 17",-0.009999999999999787,-0.0026
2017-01-11,3.85,3.89,3.82,3.87,GNW,3832313,HISTORICAL_PRICES,GNW,,1606830572000,0.38489208633093536,0.38489208633093536,3.87,3.85,3.89,3.82,3832313,3.87,3.85,3.89,3.82,3832313,"Jan 11, 17",0.020000000000000018,0.0052
2017-01-12,3.86,3.87,3.81,3.84,GNW,4242916,HISTORICAL_PRICES,GNW,,1606830572000,0.38848920863309355,0.38848920863309355,3.84,3.86,3.87,3.81,4242916,3.84,3.86,3.87,3.81,4242916,"Jan 12, 17",0.009999999999999787,0.0026
2017-01-13,3.88,3.95,3.85,3.88,GNW,3999487,HISTORICAL_PRICES,GNW,,1606830572000,0.3956834532374101,0.3956834532374101,3.88,3.88,3.95,3.85,3999487,3.88,3.88,3.95,3.85,3999487,"Jan 13, 17",0.020000000000000018,0.0052
2017-01-17,3.87,3.91,3.83,3.89,GNW,4730425,HISTORICAL_PRICES,GNW,,1606830572000,0.3920863309352519,0.3920863309352519,3.89,3.87,3.91,3.83,4730425,3.89,3.87,3.91,3.83,4730425,"Jan 17, 17",-0.009999999999999787,-0.0026
2017-01-18,3.84,3.88,3.8,3.86,GNW,6359252,HISTORICAL_PRICES,GNW,,1606830572000,0.38129496402877705,0.38129496402877705,3.86,3.84,3.88,3.8,6359252,3.86,3.84,3.88,3.8,6359252,"Jan 18, 17",-0.03000000000000025,-0.0078
2017-01-19,3.84,3.87,3.77,3.85,GNW,7904259,HISTORICAL_PRICES,GNW,,1606830572000,0.38129496402877705,0.38129496402877705,3.85,3.84,3.87,3.77,7904259,3.85,3.84,3.87,3.77,7904259,"Jan 19, 17",0,0
2017-01-20,3.8,3.87,3.75,3.83,GNW,8863948,HISTORICAL_PRICES,GNW,,1606830572000,0.36690647482014394,0.36690647482014394,3.83,3.8,3.87,3.75,8863948,3.83,3.8,3.87,3.75,8863948,"Jan 20, 17",-0.040000000000000036,-0.0104
2017-01-23,3.77,3.85,3.735,3.84,GNW,4643592,HISTORICAL_PRICES,GNW,,1606830572000,0.3561151079136692,0.3561151079136692,3.84,3.77,3.85,3.735,4643592,3.84,3.77,3.85,3.735,4643592,"Jan 23, 17",-0.029999999999999805,-0.0079
2017-01-24,3.44,3.81,3.28,3.76,GNW,15805305,HISTORICAL_PRICES,GNW,,1606830572000,0.23741007194244612,0.23741007194244612,3.76,3.44,3.81,3.28,15805305,3.76,3.44,3.81,3.28,15805305,"Jan 24, 17",-0.33000000000000007,-0.0875
