,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
2017-03-13,10.65,11.9999,10.55,11.9999,PLYA,10662,HISTORICAL_PRICES,PLYA,,1606830572000,0,0,11.9999,10.65,11.9999,10.55,10662,11.9999,10.65,11.9999,10.55,10662,"Mar 13, 17",0,0
2017-03-14,10.46,10.5801,10.35,10.58,PLYA,47035,HISTORICAL_PRICES,PLYA,,1606830572000,-0.017840375586854414,-0.017840375586854414,10.58,10.46,10.5801,10.35,47035,10.58,10.46,10.5801,10.35,47035,"Mar 14, 17",-0.1899999999999995,-0.0178
2017-03-15,10.5,10.795,10.32,10.5,PLYA,333927,HISTORICAL_PRICES,PLYA,,1606830572000,-0.014084507042253554,-0.014084507042253554,10.5,10.5,10.795,10.32,333927,10.5,10.5,10.795,10.32,333927,"Mar 15, 17",0.03999999999999915,0.0038
2017-03-16,10.4,10.79,10.4,10.79,PLYA,301048,HISTORICAL_PRICES,PLYA,,1606830572000,-0.023474178403755867,-0.023474178403755867,10.79,10.4,10.79,10.4,301048,10.79,10.4,10.79,10.4,301048,"Mar 16, 17",-0.09999999999999964,-0.0095
2017-03-17,10.48,10.5,10.3,10.3,PLYA,179600,HISTORICAL_PRICES,PLYA,,1606830572000,-0.015962441314553984,-0.015962441314553984,10.3,10.48,10.5,10.3,179600,10.3,10.48,10.5,10.3,179600,"Mar 17, 17",0.08000000000000007,0.0077
2017-03-20,10.31,10.53,10.3,10.53,PLYA,126295,HISTORICAL_PRICES,PLYA,,1606830572000,-0.03192488262910797,-0.03192488262910797,10.53,10.31,10.53,10.3,126295,10.53,10.31,10.53,10.3,126295,"Mar 20, 17",-0.16999999999999993,-0.0162
2017-03-21,10.16,10.47,10.15,10.3,PLYA,1481189,HISTORICAL_PRICES,PLYA,,1606830572000,-0.04600938967136152,-0.04600938967136152,10.3,10.16,10.47,10.15,1481189,10.3,10.16,10.47,10.15,1481189,"Mar 21, 17",-0.15000000000000036,-0.0145
2017-03-22,10.16,10.45,10.07,10.19,PLYA,148914,HISTORICAL_PRICES,PLYA,,1606830572000,-0.04600938967136152,-0.04600938967136152,10.19,10.16,10.45,10.07,148914,10.19,10.16,10.45,10.07,148914,"Mar 22, 17",0,0
2017-03-23,10.3,10.35,10.05,10.25,PLYA,162788,HISTORICAL_PRICES,PLYA,,1606830572000,-0.032863849765258184,-0.032863849765258184,10.25,10.3,10.35,10.05,162788,10.25,10.3,10.35,10.05,162788,"Mar 23, 17",0.14000000000000057,0.0138
2017-03-24,10.2,10.39,10.15,10.36,PLYA,139832,HISTORICAL_PRICES,PLYA,,1606830572000,-0.04225352112676066,-0.04225352112676066,10.36,10.2,10.39,10.15,139832,10.36,10.2,10.39,10.15,139832,"Mar 24, 17",-0.10000000000000142,-0.0097
2017-03-27,10.14,10.23,9.86,10.19,PLYA,187655,HISTORICAL_PRICES,PLYA,,1606830572000,-0.04788732394366195,-0.04788732394366195,10.19,10.14,10.23,9.86,187655,10.19,10.14,10.23,9.86,187655,"Mar 27, 17",-0.05999999999999872,-0.0059
2017-03-28,10.15,10.21,10.05,10.05,PLYA,115436,HISTORICAL_PRICES,PLYA,,1606830572000,-0.046948356807511735,-0.046948356807511735,10.05,10.15,10.21,10.05,115436,10.05,10.15,10.21,10.05,115436,"Mar 28, 17",0.009999999999999787,0.001
2017-03-29,10.2,10.26,10.16,10.19,PLYA,105904,HISTORICAL_PRICES,PLYA,,1606830572000,-0.04225352112676066,-0.04225352112676066,10.19,10.2,10.26,10.16,105904,10.19,10.2,10.26,10.16,105904,"Mar 29, 17",0.049999999999998934,0.0049
2017-03-30,10.13,10.26,10.12,10.2,PLYA,444686,HISTORICAL_PRICES,PLYA,,1606830572000,-0.048826291079812165,-0.048826291079812165,10.2,10.13,10.26,10.12,444686,10.2,10.13,10.26,10.12,444686,"Mar 30, 17",-0.06999999999999851,-0.0069
2017-03-31,10.5,10.58,10.15,10.15,PLYA,268694,HISTORICAL_PRICES,PLYA,,1606830572000,-0.014084507042253554,-0.014084507042253554,10.15,10.5,10.58,10.15,268694,10.15,10.5,10.58,10.15,268694,"Mar 31, 17",0.3699999999999992,0.0365
2017-04-03,10.45,10.51,10.201,10.51,PLYA,160215,HISTORICAL_PRICES,PLYA,,1606830572000,-0.018779342723004796,-0.018779342723004796,10.51,10.45,10.51,10.201,160215,10.51,10.45,10.51,10.201,160215,"Apr 3, 17",-0.05000000000000071,-0.0048
2017-04-04,10.4,10.49,10.24,10.44,PLYA,779926,HISTORICAL_PRICES,PLYA,,1606830572000,-0.023474178403755867,-0.023474178403755867,10.44,10.4,10.49,10.24,779926,10.44,10.4,10.49,10.24,779926,"Apr 4, 17",-0.049999999999998934,-0.0048
2017-04-05,10.43,10.5,10.3,10.5,PLYA,195359,HISTORICAL_PRICES,PLYA,,1606830572000,-0.020657276995305222,-0.020657276995305222,10.5,10.43,10.5,10.3,195359,10.5,10.43,10.5,10.3,195359,"Apr 5, 17",0.02999999999999936,0.0029
2017-04-06,10.45,10.5,10.16,10.5,PLYA,187365,HISTORICAL_PRICES,PLYA,,1606830572000,-0.018779342723004796,-0.018779342723004796,10.5,10.45,10.5,10.16,187365,10.5,10.45,10.5,10.16,187365,"Apr 6, 17",0.019999999999999574,0.0019
