,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
2019-04-17,9.74,9.74,9.74,9.74,RIDE,100000,HISTORICAL_PRICES,RIDE,,1606830572000,0,0,9.74,9.74,9.74,9.74,100000,9.74,9.74,9.74,9.74,100000,"Apr 17, 19",0,0
2019-05-06,9.81,9.81,9.81,9.81,RIDE,100,HISTORICAL_PRICES,RIDE,,1606830572000,0.007186858316221795,0.007186858316221795,9.81,9.81,9.81,9.81,100,9.81,9.81,9.81,9.81,100,"May 6, 19",0.07000000000000028,0.0072
2019-06-18,9.71,9.71,9.71,9.71,RIDE,549999,HISTORICAL_PRICES,RIDE,,1606830572000,-0.003080082135523548,-0.003080082135523548,9.71,9.71,9.71,9.71,549999,9.71,9.71,9.71,9.71,549999,"Jun 18, 19",-0.09999999999999964,-0.0102
2019-06-19,9.72,9.72,9.71,9.72,RIDE,675000,HISTORICAL_PRICES,RIDE,,1606830572000,-0.0020533880903490323,-0.0020533880903490323,9.72,9.72,9.72,9.71,675000,9.72,9.72,9.72,9.71,675000,"Jun 19, 19",0.009999999999999787,0.001
2019-06-20,9.72,9.75,9.72,9.75,RIDE,631300,HISTORICAL_PRICES,RIDE,,1606830572000,-0.0020533880903490323,-0.0020533880903490323,9.75,9.72,9.75,9.72,631300,9.75,9.72,9.75,9.72,631300,"Jun 20, 19",0,0
2019-06-21,9.72,9.73,9.72,9.73,RIDE,300000,HISTORICAL_PRICES,RIDE,,1606830572000,-0.0020533880903490323,-0.0020533880903490323,9.73,9.72,9.73,9.72,300000,9.73,9.72,9.73,9.72,300000,"Jun 21, 19",0,0
2019-06-24,9.72,9.72,9.72,9.72,RIDE,14900,HISTORICAL_PRICES,RIDE,,1606830572000,-0.0020533880903490323,-0.0020533880903490323,9.72,9.72,9.72,9.72,14900,9.72,9.72,9.72,9.72,14900,"Jun 24, 19",0,0
2019-07-16,9.77,10.45,9.75,9.75,RIDE,11235,HISTORICAL_PRICES,RIDE,,1606830572000,0.003080082135523548,0.003080082135523548,9.75,9.77,10.45,9.75,11235,9.75,9.77,10.45,9.75,11235,"Jul 16, 19",0.049999999999998934,0.0051
2019-08-02,9.82,9.82,9.71,9.71,RIDE,400,HISTORICAL_PRICES,RIDE,,1606830572000,0.008213552361396311,0.008213552361396311,9.71,9.82,9.82,9.71,400,9.71,9.82,9.82,9.71,400,"Aug 2, 19",0.05000000000000071,0.0051
2019-08-07,9.78,9.79,9.78,9.785,RIDE,1975000,HISTORICAL_PRICES,RIDE,,1606830572000,0.0041067761806980645,0.0041067761806980645,9.785,9.78,9.79,9.78,1975000,9.785,9.78,9.79,9.78,1975000,"Aug 7, 19",-0.040000000000000924,-0.0041
2019-08-08,9.78,9.78,9.78,9.78,RIDE,125159,HISTORICAL_PRICES,RIDE,,1606830572000,0.0041067761806980645,0.0041067761806980645,9.78,9.78,9.78,9.78,125159,9.78,9.78,9.78,9.78,125159,"Aug 8, 19",0,0
2019-08-19,9.79,9.79,9.79,9.79,RIDE,349994,HISTORICAL_PRICES,RIDE,,1606830572000,0.00513347022587258,0.00513347022587258,9.79,9.79,9.79,9.79,349994,9.79,9.79,9.79,9.79,349994,"Aug 19, 19",0.009999999999999787,0.001
2019-08-20,9.9,9.9,9.9,9.9,RIDE,1000,HISTORICAL_PRICES,RIDE,,1606830572000,0.016427104722792622,0.016427104722792622,9.9,9.9,9.9,9.9,1000,9.9,9.9,9.9,9.9,1000,"Aug 20, 19",0.11000000000000121,0.0112
2019-08-23,9.9,9.9,9.8,9.8,RIDE,200,HISTORICAL_PRICES,RIDE,,1606830572000,0.016427104722792622,0.016427104722792622,9.8,9.9,9.9,9.8,200,9.8,9.9,9.9,9.8,200,"Aug 23, 19",0,0
2019-10-07,9.92,9.92,9.82,9.82,RIDE,700100,HISTORICAL_PRICES,RIDE,,1606830572000,0.018480492813141656,0.018480492813141656,9.82,9.92,9.92,9.82,700100,9.82,9.92,9.92,9.82,700100,"Oct 7, 19",0.019999999999999574,0.002
2019-10-14,9.92,9.92,9.92,9.92,RIDE,200,HISTORICAL_PRICES,RIDE,,1606830572000,0.018480492813141656,0.018480492813141656,9.92,9.92,9.92,9.92,200,9.92,9.92,9.92,9.92,200,"Oct 14, 19",0,0
2019-10-15,9.92,9.92,9.92,9.92,RIDE,102,HISTORICAL_PRICES,RIDE,,1606830572000,0.018480492813141656,0.018480492813141656,9.92,9.92,9.92,9.92,102,9.92,9.92,9.92,9.92,102,"Oct 15, 19",0,0
2019-10-23,9.9,9.9,9.9,9.9,RIDE,179,HISTORICAL_PRICES,RIDE,,1606830572000,0.016427104722792622,0.016427104722792622,9.9,9.9,9.9,9.9,179,9.9,9.9,9.9,9.9,179,"Oct 23, 19",-0.019999999999999574,-0.002
2019-10-24,9.9,9.9,9.9,9.9,RIDE,1899,HISTORICAL_PRICES,RIDE,,1606830572000,0.016427104722792622,0.016427104722792622,9.9,9.9,9.9,9.9,1899,9.9,9.9,9.9,9.9,1899,"Oct 24, 19",0,0
2019-10-29,9.92,9.92,9.86,9.86,RIDE,1027280,HISTORICAL_PRICES,RIDE,,1606830572000,0.018480492813141656,0.018480492813141656,9.86,9.92,9.92,9.86,1027280,9.86,9.92,9.92,9.86,1027280,"Oct 29, 19",0.019999999999999574,0.002
2019-11-11,9.9,9.93,9.9,9.9,RIDE,402702,HISTORICAL_PRICES,RIDE,,1606830572000,0.016427104722792622,0.016427104722792622,9.9,9.9,9.93,9.9,402702,9.9,9.9,9.93,9.9,402702,"Nov 11, 19",-0.019999999999999574,-0.002
2019-11-13,9.92,9.92,9.88,9.88,RIDE,1200100,HISTORICAL_PRICES,RIDE,,1606830572000,0.018480492813141656,0.018480492813141656,9.88,9.92,9.92,9.88,1200100,9.88,9.92,9.92,9.88,1200100,"Nov 13, 19",0.019999999999999574,0.002
2019-11-22,9.91,9.91,9.91,9.91,RIDE,120,HISTORICAL_PRICES,RIDE,,1606830572000,0.017453798767967137,0.017453798767967137,9.91,9.91,9.91,9.91,120,9.91,9.91,9.91,9.91,120,"Nov 22, 19",-0.009999999999999787,-0.001
2019-12-04,9.93,9.93,9.86,9.86,RIDE,201000,HISTORICAL_PRICES,RIDE,,1606830572000,0.01950718685831617,0.01950718685831617,9.86,9.93,9.93,9.86,201000,9.86,9.93,9.93,9.86,201000,"Dec 4, 19",0.019999999999999574,0.002
