,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
2017-01-03,5.4,5.5646,5.3,5.35,MESO,15746,HISTORICAL_PRICES,MESO,,1606830572000,0.30750605326876523,0.30750605326876523,5.35,5.4,5.5646,5.3,15746,5.35,5.4,5.5646,5.3,15746,"Jan 3, 17",0.05000000000000071,0.0093
2017-01-04,5.4,5.47,5.28,5.36,MESO,21414,HISTORICAL_PRICES,MESO,,1606830572000,0.30750605326876523,0.30750605326876523,5.36,5.4,5.47,5.28,21414,5.36,5.4,5.47,5.28,21414,"Jan 4, 17",0,0
2017-01-05,5.55,5.56,5.35,5.4,MESO,24996,HISTORICAL_PRICES,MESO,,1606830572000,0.34382566585956414,0.34382566585956414,5.4,5.55,5.56,5.35,24996,5.4,5.55,5.56,5.35,24996,"Jan 5, 17",0.14999999999999947,0.0278
2017-01-06,5.63,5.74,5.55,5.74,MESO,12241,HISTORICAL_PRICES,MESO,,1606830572000,0.36319612590799033,0.36319612590799033,5.74,5.63,5.74,5.55,12241,5.74,5.63,5.74,5.55,12241,"Jan 6, 17",0.08000000000000007,0.0144
2017-01-09,5.99,6.2198,5.66,5.75,MESO,47444,HISTORICAL_PRICES,MESO,,1606830572000,0.4503631961259081,0.4503631961259081,5.75,5.99,6.2198,5.66,47444,5.75,5.99,6.2198,5.66,47444,"Jan 9, 17",0.3600000000000003,0.0639
2017-01-10,6.29,6.33,6.04,6.04,MESO,30219,HISTORICAL_PRICES,MESO,,1606830572000,0.5230024213075061,0.5230024213075061,6.04,6.29,6.33,6.04,30219,6.04,6.29,6.33,6.04,30219,"Jan 10, 17",0.2999999999999998,0.0501
2017-01-11,6.29,6.29,6.01,6.14,MESO,10506,HISTORICAL_PRICES,MESO,,1606830572000,0.5230024213075061,0.5230024213075061,6.14,6.29,6.29,6.01,10506,6.14,6.29,6.29,6.01,10506,"Jan 11, 17",0,0
2017-01-12,6.01,6.23,6,6.23,MESO,16180,HISTORICAL_PRICES,MESO,,1606830572000,0.4552058111380145,0.4552058111380145,6.23,6.01,6.23,6,16180,6.23,6.01,6.23,6,16180,"Jan 12, 17",-0.28000000000000025,-0.0445
2017-01-13,6.2286,6.29,5.937,6.102,MESO,18592,HISTORICAL_PRICES,MESO,,1606830572000,0.5081355932203391,0.5081355932203391,6.102,6.2286,6.29,5.937,18592,6.102,6.2286,6.29,5.937,18592,"Jan 13, 17",0.21860000000000035,0.0364
2017-01-17,6.3,6.3,5.965,6.15,MESO,11741,HISTORICAL_PRICES,MESO,,1606830572000,0.5254237288135594,0.5254237288135594,6.15,6.3,6.3,5.965,11741,6.15,6.3,6.3,5.965,11741,"Jan 17, 17",0.07139999999999969,0.0115
2017-01-18,6.1935,6.2803,6.1,6.2728,MESO,9551,HISTORICAL_PRICES,MESO,,1606830572000,0.4996368038740921,0.4996368038740921,6.2728,6.1935,6.2803,6.1,9551,6.2728,6.1935,6.2803,6.1,9551,"Jan 18, 17",-0.1064999999999996,-0.0169
2017-01-19,6.27,6.27,5.95,6.05,MESO,14197,HISTORICAL_PRICES,MESO,,1606830572000,0.5181598062953995,0.5181598062953995,6.05,6.27,6.27,5.95,14197,6.05,6.27,6.27,5.95,14197,"Jan 19, 17",0.07649999999999935,0.0124
2017-01-20,6.12,6.21,5.89,6.12,MESO,24164,HISTORICAL_PRICES,MESO,,1606830572000,0.4818401937046006,0.4818401937046006,6.12,6.12,6.21,5.89,24164,6.12,6.12,6.21,5.89,24164,"Jan 20, 17",-0.14999999999999947,-0.0239
2017-01-23,6.165,6.25,6.02,6.25,MESO,8401,HISTORICAL_PRICES,MESO,,1606830572000,0.49273607748184023,0.49273607748184023,6.25,6.165,6.25,6.02,8401,6.25,6.165,6.25,6.02,8401,"Jan 23, 17",0.04499999999999993,0.0074
2017-01-24,6.05,6.13,5.8601,5.8601,MESO,19448,HISTORICAL_PRICES,MESO,,1606830572000,0.4648910411622276,0.4648910411622276,5.8601,6.05,6.13,5.8601,19448,5.8601,6.05,6.13,5.8601,19448,"Jan 24, 17",-0.11500000000000021,-0.0187
2017-01-25,6.06,6.15,5.966,6,MESO,7738,HISTORICAL_PRICES,MESO,,1606830572000,0.4673123486682808,0.4673123486682808,6,6.06,6.15,5.966,7738,6,6.06,6.15,5.966,7738,"Jan 25, 17",0.009999999999999787,0.0017
2017-01-26,6.07,6.08,6.019,6.08,MESO,4650,HISTORICAL_PRICES,MESO,,1606830572000,0.46973365617433427,0.46973365617433427,6.08,6.07,6.08,6.019,4650,6.08,6.07,6.08,6.019,4650,"Jan 26, 17",0.010000000000000675,0.0017
2017-01-27,6.03,6.07,5.97,5.97,MESO,8021,HISTORICAL_PRICES,MESO,,1606830572000,0.46004842615012115,0.46004842615012115,5.97,6.03,6.07,5.97,8021,5.97,6.03,6.07,5.97,8021,"Jan 27, 17",-0.040000000000000036,-0.0066
2017-01-30,6,6.03,5.91,6.01,MESO,4455,HISTORICAL_PRICES,MESO,,1606830572000,0.4527845036319613,0.4527845036319613,6.01,6,6.03,5.91,4455,6.01,6,6.03,5.91,4455,"Jan 30, 17",-0.03000000000000025,-0.005
2017-01-31,5.8701,5.989,5.8701,5.9175,MESO,5166,HISTORICAL_PRICES,MESO,,1606830572000,0.4213317191283293,0.4213317191283293,5.9175,5.8701,5.989,5.8701,5166,5.9175,5.8701,5.989,5.8701,5166,"Jan 31, 17",-0.12990000000000013,-0.0217
2017-02-01,5.8712,5.8712,5.8712,5.8712,MESO,527,HISTORICAL_PRICES,MESO,,1606830572000,0.4215980629539952,0.4215980629539952,5.8712,5.8712,5.8712,5.8712,527,5.8712,5.8712,5.8712,5.8712,527,"Feb 1, 17",0.001100000000000101,0.0002
2017-02-02,5.8399,5.87,5.62,5.87,MESO,11498,HISTORICAL_PRICES,MESO,,1606830572000,0.4140193704600485,0.4140193704600485,5.87,5.8399,5.87,5.62,11498,5.87,5.8399,5.87,5.62,11498,"Feb 2, 17",-0.031299999999999883,-0.0053
2017-02-03,6.01,6.01,5.8828,5.8828,MESO,6200,HISTORICAL_PRICES,MESO,,1606830572000,0.4552058111380145,0.4552058111380145,5.8828,6.01,6.01,5.8828,6200,5.8828,6.01,6.01,5.8828,6200,"Feb 3, 17",0.1700999999999997,0.0291
2017-02-06,5.77,5.9416,5.706,5.92,MESO,6348,HISTORICAL_PRICES,MESO,,1606830572000,0.397094430992736,0.397094430992736,5.92,5.77,5.9416,5.706,6348,5.92,5.77,5.9416,5.706,6348,"Feb 6, 17",-0.2400000000000002,-0.0399
2017-02-07,5.54,5.8,5.54,5.76,MESO,8605,HISTORICAL_PRICES,MESO,,1606830572000,0.34140435835351096,0.34140435835351096,5.76,5.54,5.8,5.54,8605,5.76,5.54,5.8,5.54,8605,"Feb 7, 17",-0.22999999999999954,-0.0399
2017-02-08,5.57,5.5701,5.39,5.51,MESO,28836,HISTORICAL_PRICES,MESO,,1606830572000,0.3486682808716708,0.3486682808716708,5.51,5.57,5.5701,5.39,28836,5.51,5.57,5.5701,5.39,28836,"Feb 8, 17",0.03000000000000025,0.0054
2017-02-09,5.81,6.04,5.5001,5.5001,MESO,18062,HISTORICAL_PRICES,MESO,,1606830572000,0.40677966101694907,0.40677966101694907,5.5001,5.81,6.04,5.5001,18062,5.5001,5.81,6.04,5.5001,18062,"Feb 9, 17",0.23999999999999932,0.0431
2017-02-10,5.9,6.03,5.71,5.86,MESO,3271,HISTORICAL_PRICES,MESO,,1606830572000,0.4285714285714287,0.4285714285714287,5.86,5.9,6.03,5.71,3271,5.86,5.9,6.03,5.71,3271,"Feb 10, 17",0.09000000000000075,0.0155
2017-02-13,5.95,6.0491,5.87,5.89,MESO,8997,HISTORICAL_PRICES,MESO,,1606830572000,0.440677966101695,0.440677966101695,5.89,5.95,6.0491,5.87,8997,5.89,5.95,6.0491,5.87,8997,"Feb 13, 17",0.04999999999999982,0.0085
2017-02-14,6.1,6.1,5.99,6,MESO,7382,HISTORICAL_PRICES,MESO,,1606830572000,0.4769975786924939,0.4769975786924939,6,6.1,6.1,5.99,7382,6,6.1,6.1,5.99,7382,"Feb 14, 17",0.14999999999999947,0.0252
2017-02-15,6.12,6.1519,6.0999,6.1,MESO,3456,HISTORICAL_PRICES,MESO,,1606830572000,0.4818401937046006,0.4818401937046006,6.1,6.12,6.1519,6.0999,3456,6.1,6.12,6.1519,6.0999,3456,"Feb 15, 17",0.020000000000000462,0.0033
2017-02-16,6.3212,6.49,6.16,6.2,MESO,40287,HISTORICAL_PRICES,MESO,,1606830572000,0.5305569007263923,0.5305569007263923,6.2,6.3212,6.49,6.16,40287,6.2,6.3212,6.49,6.16,40287,"Feb 16, 17",0.20120000000000005,0.0329
2017-02-17,6.41,6.57,6.281,6.57,MESO,33758,HISTORICAL_PRICES,MESO,,1606830572000,0.5520581113801454,0.5520581113801454,6.57,6.41,6.57,6.281,33758,6.57,6.41,6.57,6.281,33758,"Feb 17, 17",0.08879999999999999,0.014
2017-02-21,6.49,6.58,6.44,6.44,MESO,22459,HISTORICAL_PRICES,MESO,,1606830572000,0.5714285714285715,0.5714285714285715,6.44,6.49,6.58,6.44,22459,6.44,6.49,6.58,6.44,22459,"Feb 21, 17",0.08000000000000007,0.0125
2017-02-22,6.44,6.53,6.38,6.53,MESO,15754,HISTORICAL_PRICES,MESO,,1606830572000,0.5593220338983053,0.5593220338983053,6.53,6.44,6.53,6.38,15754,6.53,6.44,6.53,6.38,15754,"Feb 22, 17",-0.04999999999999982,-0.0077
