,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
2019-05-21,7.81,8.44,7.75,8.37,OGI,2572416,HISTORICAL_PRICES,OGI,,1606830572000,0,0,8.37,7.81,8.44,7.75,2572416,8.37,7.81,8.44,7.75,2572416,"May 21, 19",0,0
2019-05-22,7.61,8.15,7.54,8,OGI,1566282,HISTORICAL_PRICES,OGI,,1606830572000,-0.025608194622279038,-0.025608194622279038,8,7.61,8.15,7.54,1566282,8,7.61,8.15,7.54,1566282,"May 22, 19",-0.1999999999999993,-0.0256
2019-05-23,7.22,7.59,7.15,7.5,OGI,1317073,HISTORICAL_PRICES,OGI,,1606830572000,-0.07554417413572341,-0.07554417413572341,7.5,7.22,7.59,7.15,1317073,7.5,7.22,7.59,7.15,1317073,"May 23, 19",-0.39000000000000057,-0.0512
2019-05-24,7.49,7.61,7.3333,7.38,OGI,1041755,HISTORICAL_PRICES,OGI,,1606830572000,-0.04097311139564653,-0.04097311139564653,7.38,7.49,7.61,7.3333,1041755,7.38,7.49,7.61,7.3333,1041755,"May 24, 19",0.27000000000000046,0.0374
2019-05-28,7.85,7.89,7.65,7.77,OGI,1197192,HISTORICAL_PRICES,OGI,,1606830572000,0.005121638924455831,0.005121638924455831,7.77,7.85,7.89,7.65,1197192,7.77,7.85,7.89,7.65,1197192,"May 28, 19",0.35999999999999943,0.0481
2019-05-29,7.69,7.8798,7.5007,7.76,OGI,860238,HISTORICAL_PRICES,OGI,,1606830572000,-0.015364916773367378,-0.015364916773367378,7.76,7.69,7.8798,7.5007,860238,7.76,7.69,7.8798,7.5007,860238,"May 29, 19",-0.15999999999999925,-0.0204
2019-05-30,7.55,7.8389,7.45,7.71,OGI,708395,HISTORICAL_PRICES,OGI,,1606830572000,-0.03329065300896284,-0.03329065300896284,7.71,7.55,7.8389,7.45,708395,7.71,7.55,7.8389,7.45,708395,"May 30, 19",-0.14000000000000057,-0.0182
2019-05-31,7.24,7.45,7.17,7.4,OGI,1044896,HISTORICAL_PRICES,OGI,,1606830572000,-0.07298335467349544,-0.07298335467349544,7.4,7.24,7.45,7.17,1044896,7.4,7.24,7.45,7.17,1044896,"May 31, 19",-0.3099999999999996,-0.0411
2019-06-03,6.86,7.41,6.7701,7.3,OGI,1493146,HISTORICAL_PRICES,OGI,,1606830572000,-0.12163892445582578,-0.12163892445582578,7.3,6.86,7.41,6.7701,1493146,7.3,6.86,7.41,6.7701,1493146,"Jun 3, 19",-0.3799999999999999,-0.0525
2019-06-04,7.43,7.46,6.95,6.99,OGI,962665,HISTORICAL_PRICES,OGI,,1606830572000,-0.048655569782330335,-0.048655569782330335,6.99,7.43,7.46,6.95,962665,6.99,7.43,7.46,6.95,962665,"Jun 4, 19",0.5699999999999994,0.0831
2019-06-05,7.33,7.65,7.221,7.6,OGI,750558,HISTORICAL_PRICES,OGI,,1606830572000,-0.06145966709346985,-0.06145966709346985,7.6,7.33,7.65,7.221,750558,7.6,7.33,7.65,7.221,750558,"Jun 5, 19",-0.09999999999999964,-0.0135
2019-06-06,7.21,7.39,7.0999,7.39,OGI,529382,HISTORICAL_PRICES,OGI,,1606830572000,-0.07682458386683734,-0.07682458386683734,7.39,7.21,7.39,7.0999,529382,7.39,7.21,7.39,7.0999,529382,"Jun 6, 19",-0.1200000000000001,-0.0164
2019-06-07,7.26,7.49,7.21,7.22,OGI,645708,HISTORICAL_PRICES,OGI,,1606830572000,-0.07042253521126758,-0.07042253521126758,7.22,7.26,7.49,7.21,645708,7.22,7.26,7.49,7.21,645708,"Jun 7, 19",0.04999999999999982,0.0069
2019-06-10,7.39,7.47,7.27,7.47,OGI,582395,HISTORICAL_PRICES,OGI,,1606830572000,-0.053777208706786164,-0.053777208706786164,7.47,7.39,7.47,7.27,582395,7.47,7.39,7.47,7.27,582395,"Jun 10, 19",0.1299999999999999,0.0179
2019-06-11,7.25,7.44,7.15,7.41,OGI,721561,HISTORICAL_PRICES,OGI,,1606830572000,-0.07170294494238151,-0.07170294494238151,7.41,7.25,7.44,7.15,721561,7.41,7.25,7.44,7.15,721561,"Jun 11, 19",-0.13999999999999968,-0.0189
2019-06-12,7.01,7.25,7,7.2,OGI,732613,HISTORICAL_PRICES,OGI,,1606830572000,-0.1024327784891165,-0.1024327784891165,7.2,7.01,7.25,7,732613,7.2,7.01,7.25,7,732613,"Jun 12, 19",-0.2400000000000002,-0.0331
2019-06-13,6.8,7.07,6.74,7.01,OGI,1076157,HISTORICAL_PRICES,OGI,,1606830572000,-0.12932138284250957,-0.12932138284250957,7.01,6.8,7.07,6.74,1076157,7.01,6.8,7.07,6.74,1076157,"Jun 13, 19",-0.20999999999999996,-0.03
2019-06-14,6.27,6.75,6.24,6.75,OGI,1545076,HISTORICAL_PRICES,OGI,,1606830572000,-0.1971830985915493,-0.1971830985915493,6.75,6.27,6.75,6.24,1545076,6.75,6.27,6.75,6.24,1545076,"Jun 14, 19",-0.5300000000000002,-0.0779
2019-06-17,6.22,6.52,6.15,6.44,OGI,846831,HISTORICAL_PRICES,OGI,,1606830572000,-0.20358514724711907,-0.20358514724711907,6.44,6.22,6.52,6.15,846831,6.44,6.22,6.52,6.15,846831,"Jun 17, 19",-0.04999999999999982,-0.008
